"# of Use","# van gebruik"
"%1$s incl tax.","%1$s incl.BTW"
"%s - %s","%s - %s"
"%s Item(s)","%s artikel(en)"
"(Copy data from: %s)","(Data kopi&euml;ren van: %s)"
"Use categories path for product URLs","Categorieënpad voor product-URL’s gebruiken"
"Category Data","Categoriegegevens"
"Retrieve category data","Categoriegegevens ophalen"
"Super product attributes configuration","Configuratie super-productattributen"
"Use Config Settings","Configuratie-instellingen gebruiken"
"Configurable Product","Configureerbaar product"
"Cross-sells","Cross-selling"
"Data Type for Saving in Database","Datatype voor opslaan in database"
"Date & Time Custom Options","Date & Time Custom Options"
"Date fields order","Date fields order"
"Datetime","Datetime"
"Date","Datum"
"Date Subscribed","Datum inschrijving"
"Length of text is too long","De tekst is te lang"
"unselect all","De-selecteer alles"
"Decimal","Decimaal"
"Decimal Number","Decimaal nummer"
"Qty Uses Decimals","Decimalen in aantalen"
"Depends on design theme","Depends on design theme"
"Description","Description"
"Add Design Change","Design-wijziging toevoegen"
"Show Details","Details tonen"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Deze groep bevat attributen die gebruikt worden in configureerbare producten. Verplaats deze attributen naar een andere groep en probeer opnieuw a.u.b."
"This group contains system attributes. Please move system attributes to another group and try again.","Deze groep bevat systeemattributen. Verplaats de systeemattributen naar een andere groep en probeer opnieuw a.u.b."
"This search no longer exists","Deze zoekactie bestaat niet meer"
"Remove This Item","Dit artikel verwijderen"
"This attribute no longer exists","Dit attribuut bestaat niet meer"
"Redirect","Doorsturen"
"Redirect URL","Doorstuur URL"
"Searchable","Doorzoekbaar"
"Dropdown","Dropdown"
"Duplicate website tier price customer group and quantity.","Dubbele staffel op website voor klantengroep en aantal"
"Duplicate website, country and state tax found.","Dubbele website, land en BTW gevonden"
"Double click on above image to view full picture","Dubbelklik op de afbeelding voor groot formaat"
"Double click on a group to rename it","Dubbelklik op een groep om te hernoemen"
"Duplicate","Dupliceren"
"Retrieve one level of categories by website/store view/parent category","E&eactue;n niveau  van categorie&euml;n per website/winkelzicht/ouder-categorie"
"Email","E-mail"
"Email to a Friend","E-mail naar een vriend"
"A name is required","Een naam is verplicht"
"Custom Design","Eigen ontwerp"
"Custom Options","Eigen opties"
"Product Tags","Eigen tags"
"Properties","Eigenschappen"
"Frontend Properties","Eigenschappen front-end"
"each","elk"
"and","en"
"and above","en hoger"
"There are no %s available.","Er is geen %s beschikbaar."
"There are no products matching the selection.","Er komen geen producten overeen met de selectie."
"There was an error while adding products to websites","Er was een fout tijdens het toevoegen van producten aan websites"
"There was an error while cleared compare list","Er was een fout tijdens het toevoegen van producten aan websites"
"There was an error while updating product(s) status","Er was een fout tijdens het updaten van de product status"
"There was an error while updating product(s) attributes","Er was een fout tijdens het updaten van productattribuut(pen)"
"There was an error while removing products from websites","Er was een fout tijdens het verwijderen van producten van websites"
"There are no customers for this alert","Er zijn geen klanten voor deze waarschuwing"
"No options of this product are available.","Er zijn geen opties voor dit product beschikbaar"
"Additional Information","Extra informatie"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Filter must be as object. Set correct filter please","Filter moet een object zijn. Stel het goede filter in a.u.b."
"Filterable (no results)","Filterbaar (geen resultaten)"
"Filterable (with results)","Filterbaar (met resultaten)"
"Filters must be as array","Filters moet als array zijn"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"Grid","Foto-tabel"
"Error while saving this group. Group with the same name already exists.","Fout tijdens opslaan van deze groep. Er bestaat al een groep met deze naam."
"Error while saving this group. Please try again later.","Fout tijdens opslaan van deze groep. Probeer later nog eens a.u.b."
"Product saving error.","Fout tijdens opslaan van product."
"Error during retrieval of option value: %s","Fout tijdens opvragen van optiewaarde: %s-"
"Error while adding customers for %s alert. Message: %s","Fout tijdens toevoegen van klanten voor %s melding. Bericht: %s"
"Frontend","Front-end"
"Frontend Model","Front-end model"
"Go to Home Page","Ga naar Home"
"Continue","Ga verder"
"Gallery","Galerij"
"Based On","Gebaseerd op"
"Use In Layered Navigation","Gebruik in gelaagde navigatie"
"Use in advanced search","Gebruiken in geavanceerd zoeken"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Gebruiken in gelaagde navigatie<br />(alleen mogelijk met catalogus-veldtype ‘Dropdown’)"
"Use in quick search","Gebruiken in Snel zoeken"
"Use In Search Results Layered Navigation","Gebruiken in zoekresultaten van gelaagde navigatie"
"Use To Create Configurable Product","Gebruiken om configureerbaar product aan te maken"
"Please enter a new group name","Geef een nieuwe groepnaam op a.u.b."
"None","Geen"
"No image","Geen afbeelding"
"No layout updates","Geen layout-updates"
"You have no items to compare.","Geen producten geselecteerd."
"No product collections found","Geen productverzamelingen gevonden"
"Retrieve products list by filters","Gefilterde productenlijst ophalen"
"Products Information","Gegevens producten"
"Grouped Product","Gegroepeerd product"
"Associated Products","Gerelateerde producten"
"Selected configuration is not available.","Geselecteerde configuratie is niet beschikbaar"
"Delete Selected Group","Geselecteerde groep verwijderen"
"Approved","Goedgekeurd"
"Minimum Qty for Item's Status to be Out of Stock","Grens-aantal voor status ""Niet in voorraad"""
"Add Group","Groep toevoegen"
"Groups","Groepen"
"Get special price","Haal aanbiedingsprijs op"
"Retrieve list of assigned products","Haal een lijst op van toegewezen producten"
"Retrieve linked products","Haal gekoppelde producten op"
"Reset","Herstellen"
"Retrieve hierarchical tree","Hierarchische boom ophalen"
"Parent Category","Hogere categorie"
"Home","Home"
"Allow HTML-tags on Front-end","HTML-tags toestaan in front-end"
"Set/Get current store view","Huidige winkelzicht ophalen/instellen"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Total of %d record(s) were successfully updated","In totaal is/zijn er %s record(s) met succes bijgewerkt"
"Total of %d record(s) were successfully deleted","In totaal is/zijn er %s record(s) met succes verwijderd"
"Display in Suggested Terms","In voorgestelde termen tonen"
"In stock.","In voorraad"
"In stock","In voorraad"
"In Stock","In voorraad"
"Add to Cart","Klik hier en bestel"
"Incl. Tax","Incl. BTW"
"Enabled","Ingeschakeld"
"Settings","Instellingen"
"Configurable Product Settings","Instellingen configureerbaar product"
"Integer","Integer"
"Integer Number","Integer getal"
"Invalid attribute %s","Invalid attribute %s"
"Input Validation for Store Owner","Invoer-validatie voor winkeleigenaar"
"Zoom In","Inzoomen"
"Is Default","Is standaard"
"Is Required","Is verplicht"
"Yes","Ja"
"Yes/No","Ja/Nee"
"Can be used only with catalog input type Dropdown","Kan alleen gebruikt worden met invoerveld van type Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan alleen gebruikt worden met invoervelden van typen Dropdown, Multiple select en Prijs"
"Can't create image.","Kan geen afbeelding maken"
"Feature Products","Kenmerk producten"
"Choose an Option...","Kies een optie..."
"Choose option...","Kies optie..."
"Customers for alert %s was successfuly added to queue","Klanten voor mededeling %s zijn met succes aan rij toegevoegd"
"Customers Reviews","Klanten-reviews"
"Customer Group","Klantengroep"
"Please click on Close Window button if it won't be closed automatically","Klik op  ""Venster sluiten"" als dit niet automatisch gebeurt."
"Product Info Column","Kolom productgegevens"
"comma separated","komma-gescheiden"
"Unable to complete request. Please try again later.","Kon de opdracht niet voltooien. Probeer later opnieuw a.u.b."
"Unable to find an attribute to delete","Kon geen attribuut vinden om te verwijderen"
"Unable to get product id.","Kon geen product-id krijgen."
"Unable to find a search term to delete","Kon geen zoekterm vinden om te verwijderen"
"Buy %1$s for %2$s (%3$s incl. tax) each","Koop %1$s voor %2$s (%3$s incl. BTW) per stuk."
"Buy %1$s for %2$s each","Koop %1$s voor %2$s per stuk."
"Copy From Configurable","Kopi&euml;ren van configureerbare"
"Last Notification","Laatste melding"
"Label","Label (Alt-tag)"
"Country/State","Land/Provincie"
"leave blank if its not an image","leave blank if its not an image"
"Empty","Leeg"
"Letters","Letters"
"Letters(a-zA-Z) or Numbers(0-9)","Letters (a-z A-z) of getallen (0-9)"
"List","Lijst"
"Retrieve product image list","Lijst productafbeeldingen ophalen"
"List Mode","Lijstweergave"
"Link (Related, Up sell, Cross sell)","Link (Verwant, Up-selling, Cross-selling)"
"Link product not exists.","Link-product bestaat niet."
"Max Characters","Max tekens"
"Maximum Qty Allowed in Shopping Cart","Maximaal aantal in shoppingbag"
"Maximum number of characters","Maximaal aantal tekens"
"Maximal Depth","Maximale diepte"
"Maximum image height","Maximum image height"
"Maximum Image Size","Maximum Image Size"
"Maximum image width","Maximum image width"
"Media Image","Media-afbeelding"
"More Views","Meer afbeeldingen"
"Learn More","Meer info"
"Multiple Select","Meervoudige selectie"
"Notify for Quantity Below","Melden bij aantal lager dan"
"Minimum Qty Allowed in Shopping Cart","Minimaal aantal  in shoppingbag"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Qty for Item's Status to become Out of Stock","Minmum-aantal voor melding Op voorraad"
"Failed","Mislukt"
"must be in the allowed values list","moet in de lijst van toegestane waarden staan"
"Roll Over for preview","Mouse-over toont beeld"
"Name","Naam"
"Name In %s","Naam in %s"
"Set Name","Naam instellen"
"Filter model name must be declared","Naam van filtermodel moet worden opgegeven"
"Name<br/>(For internal use)","Naam:<br />(voor intern gebruik)"
"No","Nee"
"Nowhere","Nergens"
"Not shared with other products","Niet gedeeld met andere producten"
"Out of stock","Niet in voorraad"
"Out of Stock","Niet in voorraad"
"Out of stock.","Niet in voorraad."
"Unassigned Attributes","Niet-toegewezen attributen"
"Add New Attribute","Nieuw attribuut toevoegen"
"New Product","Nieuw product"
"Create new product","Nieuw product aanmaken"
"New Product Attribute","Nieuw product-attribuut"
"Add New Images","Nieuwe afbeeldingen toevoegen"
"Add New Attribute Set","Nieuwe attributenset toevoegen"
"New Category","Nieuwe categorie"
"Create new category","Nieuwe categorie aanmaken"
"Add New Group","Nieuwe groep toevoegen"
"Add New Option","Nieuwe optie toevoegen"
"New Products","Nieuwe producten"
"Add New Row","Nieuwe rij toevoegen"
"Add New Set","Nieuwe set toevoegen"
"New Set Name","Nieuwe set-naam"
"New Search","Nieuwe zoekactie"
"Add New Search Term","Nieuwe zoekterm toevoegen"
"Regular Price:","Normale prijs:"
"OR","OF"
"For reindex enabled product(s) you need specify store or product","Om de producten te her-indexeren moet u een winkel of product specificeren."
"Unknown attribute: %s","Onbekend attribuut: %s"
"Bottom/Left","Onder/links"
"Bottom/Right","Onder/rechts"
"Invalid image type.","Ongeldig afbeeldingstype"
"Invalid block: %s","Ongeldig blok: %s"
"Invalid category IDs","Ongeldig categorie-ID"
"Invalid option id specified for %s (%s), skipping the record","Ongeldig optie-ID opgegeven voor %s (%s), record wordt overgeslagen"
"Invalid product type specified, skipping the record","Ongeldig producttype opgegeven, record wordt overgeslagen"
"Invalid image file type","Ongeldig type afbeeldingsbestand"
"Invalid attribute set specified, skipping the record","Ongeldige attributenset opgegeven, record wordt overgeslagen"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Ongeldige attribuut-optie opgegeven voor attribuut %s (%s), record wordt overgeslagen"
"Invalid category","Ongeldige categorie"
"Invalid Tier Prices","Ongeldige staffelprijzen"
"Invalid store specified","Ongeldige winkel opgegeven"
"Invalid store specified, skipping the record","Ongeldige winkel opgegeven, record wordt overgeslagen"
"Design","Ontwerp"
"We Also Recommend","Ook aanbevolen"
"Save","Opslaan"
"Save And Continue Edit","Opslaan en verder bewerken"
"Url rewrie save problem.","Opslagprobleem URL-rewrite"
"Add Option","Optie toevoegen"
"Delete Option","Optie verwijderen"
"Option:","Optie:"
"Options is required","Opties is verplicht"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Old Price:","Oude prijs:"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Page:","Pagina:"
"per page","per pagina"
"Percentage","Percentage"
"Product Image Placeholders","Plaats van productafbeelding"
"Watermark Position","Plaats van watermerk"
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"PM","PM"
"Position","Positie"
"Position In Layered Navigation","Positie in gelaagde navigatie"
"Position of attribute in layered navigation block","Positie van attribuut in gelaagde-navigatieblok"
"Price","Prijs"
"Price:","Prijs:"
"Price Type","Prijstype"
"Price values for options should be specified in system base currency.","Prijzen voor opties moeten worden opgegeven in de basis-valuta"
"Print This Page","Print deze pagina"
"Problem saving the collection, aborting. Error: %s","Probleem bij opslaan van verzameling. Magento sluit af. Fout: %s"
"Product","Product"
"Product %s successfully added to compare list","Product %s met succes toegevoegd aan vergelijkingslijst"
"Product %s successfully removed from compare list","Product %s met succes verwijderd van vergelijkingslijst"
"Assign product to category","Product aan categorie toewijzen"
"Add Product To Websites","Product aan websites toevoegen"
"Product duplicated","Product gedupliceerd"
"Product has required options","Product heeft verplichte opties"
"Product In Websites","Product in websites"
"Product was successfully created.","Product is met succes aangemaakt."
"Product was successfully saved.","Product is met succes opgeslagen"
"Product with this combination of attributes already associated to configurable.","Product met deze attributencombinatie is al verbonden met configureerbaar."
"Retrieve product","Product ophalen"
"Product saving error. ","Product saving error. "
"Product Tier Price API","Product Staffelprijs API"
"Add Product","Product toevoegen"
"Update product","Product updaten"
"Remove Product From Websites","Product van websites verwijderen"
"Product deleted","Product verwijderd"
"Delete product","Product verwijderen"
"Product API","Product-API"
"Product Attribute","Product-attribuut"
"Product links API (related, cross sells, up sells)","Product-links API (verwant, cross-selling, up-selling)"
"Retrieve product link types","Product-linktypen ophalen"
"Product Reviews","Product-reviews"
"Product Alerts","Product-waarschuwingen"
"Retrieve product image","Productafbeelding ophalen"
"Update product image","Productafbeelding updaten"
"Remove product image","Productafbeelding verwijderen"
"Product Images","Productafbeeldingen"
"Product Images API","Productafbeeldingen API"
"Product Attributes","Productattributen"
"Product attributes API","Productattributen API"
"Retrieve product attribute sets","Productattributen ophalen"
"Edit Product Attribute ""%s""","Productattribuut  ""%s"" wijzigen"
"Product attribute was successfully saved","Productattribuut is met succes opgeslagen"
"Product attribute was successfully deleted","Productattribuut is met succes verwijderd"
"Edit Product Attribute","Productattribuut wijzigen"
"Product attribute sets API","Productattrubuten-sets API"
"Product Description","Productbeschrijving"
"Product Categories","Productcategorie&euml;n"
"Products","Producten"
"products","Producten"
"Compare Products","Producten vergelijken"
"Compare Products (%d)","Producten vergelijken (%d)"
"Compare Products List","Productenlijst vergelijken"
"Product Information","Productgegevens"
"Retrieve products data","Productgegevens ophalen"
"Create Product Settings","Productinstellingen aanmaken"
"Remove product assignment","Productkoppeling verwijderen"
"Product listing sort by","Productlijst sorteren op"
"Remove product link","Productlink  verwijderen"
"Assign product link","Productlink toewijzen"
"Update product link","Productlink updaten"
"Product Name","Productnaam"
"Product Type","Producttype"
"Product types API","Producttypen API"
"Retrieve product types","Producttypen ophalen"
"Selected Product Types","Producttypen selecteren"
"Product collection expected","Productverzameling verwacht"
"px.","px."
"Records for ""","Records voor """
"Line %d, SKU: %s","Regel %d, artikelnr: %s"
"Line %d, Email: %s","Regel %d, E-mail: %s"
"Results","Resultaten"
"Review was successfully saved","Review is met succes opgeslagen"
"Review was saved successfully","Review is met succes opgeslagen"
"Review successfully deleted","Review is met succes verwijderd"
"Reviews","Reviews"
"Products Reviews","Reviews"
"Delete Row","Rij verwijderen"
"Select type options required values rows.","Rijen verplichte waarden voor type-opties selecteren"
"Root","Root"
"Add Root Category","Root-categorie toevoegen"
"Pending Reviews RSS","RSS van wachtende reviews"
"Notify Low Stock RSS","RSS voor melding weinig voorraad"
"Saved ","Saved "
"Page Title Separator","Scheidingsteken paginatitel"
"Scope","Scope"
"Catalog Price Scope","Scope catalogusprijs"
"Search Engine Optimizations","Search Engine Optimalisatie (SEO)"
"Catalog Section","Sectie Catalogus"
"Select Configurable Attributes ","Select Configurable Attributes "
"Please select  items","Selecteer artikelen a.u.b."
"Please select one or more attributes.","Selecteer een of meer attributen a.u.b."
"Please select product(s)","Selecteer producten a.u.b."
"Please select products for attributes update","Selecteer producten voor attributen-update a.u.b."
"Please select static block ...","Selecteer statisch blok a.u.b..."
"Shopping Options","Selectie verfijnen"
"Short Description","Short Description"
"Simple Product","Simpel product"
"Sitemap","Sitemap"
"Site Map","Sitemap"
"Categories Sitemap","Sitemap categorie&euml;n"
"Products Sitemap","Sitemap van producten"
"Skip import row, is not valid value ""%s"" for field ""%s""","Sla importeren van rij over, “%s” is geen geldige waarde voor veld “%s”"
"Skip import row, required field ""%s"" not defined","Sla importeren van rij over, benodigd veld “%s” niet opgegeven"
"Skip import row, required field ""%s"" for new customer not defined","Sla importeren van rij over, benodigd veld “%s” voor nieuwe klanten niet opgegeven"
"Skip import row, required field ""%s"" for new products not defined","Sla importeren van rij over, benodigd veld “%s” voor nieuwe producten niet opgegeven"
"Skip import row, store ""%s"" field not exists","Sla importeren van rij over, winkel “%s” veld bestaat niet"
"As low as:","Slechts"
"Exclude","Sluit uit"
"Close Window","Sluit venster"
"Quick Create","Snel aanmaken"
"Quick simple product creation","Snel een simpel product aanmaken"
"Quick Overview","Snel overzicht"
"Sort by","Sorteer op"
"Sort Order","Sorteervolgorde"
"Special Price:","Speciale prijs:"
"Please specify the product option(s)","Specificeer de productoptie(s) a.u.b."
"Please specify the product required option(s)","Specificeer de verplichte productoptie(s) a.u.b."
"Please specify the product(s) quantity","Specificeer het aantal producten a.u.b."
"Add Tier","Staffel toevoegen"
"Update Tier Price","Staffelprijs bijwerken"
"Tier Pricing","Staffelprijzen"
"Retrieve product tier prices","Staffelprijzen product ophalen"
"Update product tier prices","Staffelprijzen product updaten"
"Default Qty","Standaard-aantal"
"Watermark Default Size","Standaard-grootte van watermerk"
"Default price","Standaard-prijs"
"Default value","Standaard-waarde"
"Products per Page on List default value","Standaardwaarde voor producten per pagina in lijstweergave"
"Default Values","Standaardwaarden"
"Use Default Value","Standaardwaarden gebruiken"
"Static","Statisch"
"Static block and products","Statisch blok en producten"
"Status","Status"
"Change status","Status wijzigen"
"Add Subcategory","Subcategorie toevoegen"
"Synonym For","Synoniem voor"
"Synonym for","Synoniem voor"
"Global","Systeem"
"System","Systeem"
"Globally Editable","Systeembreed bewerkbaar"
"System Properties","Systeemeigenschappen"
"Tag Name","Tag-naam"
"Show Tags","Tags tonen"
"Customers Tagged Product","Tags van klanten"
"Tax Class","Tax Class"
"Tile","Tegel"
"Text","Tekst"
"Text Area","Tekstvak"
"Text Field","Tekstveld"
"Send Count","Telling versturen"
"Back","Terug"
"This is a required option","This is a required option"
"Time format","Time format"
"Title","Titel"
"Backend Table Title","Titel backend-tabel"
"Products per Page on List allowed values","Toegestane waarden voor producten per pagina in lijstweergave"
"Products per page on Grid allowed values","Toegestane waarden voor tabel-weergave van producten per pagina"
"Products per Page on Grid default value","Toegestane waarden voor tabel-weergave van producten per pagina"
"Update assigned product","Toegewezen product updaten"
"Assigned Products","Toegewezen producten"
"Apply To","Toepassen op"
"Apply To Configurable/Grouped Product","Toepassen op configureerbaar/gegroepeerd product"
"Add New","Toevoegen nieuwe"
"Assign","Toewijzen"
"View as","Tonen als"
"Show","Toon"
"Add to Compare","Toon in vergelijking"
"Total Qty Base Items","Totaal aantal basis-artikelen"
"Total incl. Tax: %1$s","Totaal incl. BYTW %1s"
"Type","Type"
"Input Type","Type invoerveld"
"Select type of option","Type-optie selecteren"
"Retrieve product image types","Typenl productafbeeldingen ophalen"
"You may also be interested in the following product(s)","U bent wellicht ook ge&iuml;nteresseerd in de volgende producten:"
"You cannot edit this attribute","U kunt dit attribuut niet bewerken"
"You cannot update this attribute","U kunt dit attribuut niet updaten"
"You cannot delete this attribute","U kunt dit attribuut niet verwijderen"
"You cannot remove system attribute from this set.","U kunt dit systeem-attribuut niet verwijderen uit deze set."
"Disabled","Uitgeschakeld"
"Stretch","Uitrekken"
"Zoom Out","Uitzoomen"
"Unique Value","Unieke waarde"
"Unique Value (not shared with other products)","Unieke waarde (niet gedeeld met andere producten)"
"Up-sells","Up-sells"
"Update","Update"
"Upload new product image ","Upload new product image "
"Url","URL"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Set Descending Direction","Van hoog naar laag sorteren"
"Set Ascending Direction","Van laag naar hoog sorteren"
"Varchar","Varchar"
"Fixed","Vast"
"Create Simple Associated Product","Verbonden eenvoudige product aanmaken"
"Clear All Items","Verfijning wissen"
"Compare Products - %d Items","Vergelijk producten - %d items"
"Comparable","Vergelijkbaar"
"Comparable on Front-end","Vergelijkbaar in front-end"
"Compare list successfully cleared","Vergelijklijst met succes geleegd"
"Move","Verplaatsen"
"Failed to move file: %s","Verplaatsen van bestand %s is mislukt"
"Required","Verplicht"
"Values Required","Verplichte waarden"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Ververs de ""Catalogus Rewrites"" en de ""Indexen van gelaagde navigatie"" a.u.b. in Systeem -> <a href=""%s"">Cache Management</a>"
